Проект;Исполнитель;Среднее количество слов в задаче;Время затраченное на проект
 =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;7;8.570212765957447;179.92857142857142
 =ФК ТП 2023= системы Турбо Имущественный комплекс Федерального казначейства SAP23010_FK_03;4;10.178571428571429;94.875
=2023= SAP23011_IAC_02 Судебный департамент Развитие Управление имуществом на ПО Турбо Х;9;9.696793002915452;126.1888888888889
>>Исправление ошибок в клоне системы;2;7.166666666666667;26.0
"SAP19019_GKSEG_01 ГК ""Сегежа"" генподрядчик ""БерингПойнт""";1;7.0;4.0
SAP21010_MC_32 - Услуги по обеспечению функционирования ПО SAP (2021-2024);2;7.333333333333333;8.0
SAP21011_RA_07 РусАгро переход с SAP HCM на 1С;5;7.247191011235955;263.6
SAP21017_PWM_01: СМ_ОтчетВК;1;11.0;61.0
SAP21022_MOEK_39 Реализация механизма запрета на распределение оплат;2;15.2;90.0
SAP21023_MOEK_41 Предоставление документов по запросу в ЕЛК;1;20.0;142.0
SAP21025_DM_01 Детский мир;1;9.0;40.0
SAP21026_PRPM_01_Протон-М;2;8.23404255319149;86.0
SAP22001_MOEK_42 МОЭК ТП HR;6;7.25;71.0
SAP22006_KONS_04 - Переход на платформу 10.5;6;13.477064220183486;101.08333333333331
SAP22008_KONS_06 ТУРБО BI Дашборды ;1;10.0;346.0
SAP22010_GKSEG_01: ТП и ЗНИ;2;7.277777777777778;49.0
SAP22012_KONS_07 Интеграция SAP -ТУРБО;4;8.903846153846153;62.5
SAP22015_TELE_01 Раздельный учет НДС TELE2;1;8.910112359550562;480.0
SAP22019_MOEK_43 Обновление модуля «Сбыт для теплоэнергетики» корпоративной информационной системы ПАО «МОЭК» на базе программного обеспечения SAP IS-U;1;10.0;12.0
Пилотный проект Аэрофлот (ТТ+ТБ);1;11.5;39.0
Поддержка прикладных решений ТУРБО;6;8.527777777777779;24.666666666666668
Ролевая модель РАИ;4;7.444444444444445;19.0
РусАгро - Инциденты ;2;7.0;3.0
ФК Зенит;2;7.5625;69.5
Цифровая трансформация на базе решений SAP S/4HANA в ГК «Сегежа»;1;10.0;4.0
